,created_at,id,text,author_id,tokens
77,2022-03-11T17:05:13.000Z,1502329811867475979,"Nomura: ""Fed Is Shorting S&amp;P Calls""-Dynamic Remains Locked-And-Loaded https://t.co/bA12ajyoMq",18856867,"['nomura', 'fed', 'is', 'shorting', 'sampp', 'callsdynamic', 'remains', 'lockedandloaded', 'httpstcobaajyomq']"
78,2022-03-11T17:01:27.000Z,1502328862876778503,*KULEBA: COUNTRIES SHOULD CLOSE PORTS TO RUSSIAN VESSELS,18856867,"['kuleba', 'country', 'should', 'close', 'port', 'to', 'russian', 'vessel']"
79,2022-03-11T16:58:14.000Z,1502328053782958082,"Ukraine Contradicts Putin, Says ""Zero Progress"" In Ceasefire Talks https://t.co/pU0NFvfZJr",18856867,"['ukraine', 'contradicts', 'putin', 'say', 'zero', 'progress', 'in', 'ceasefire', 'talk', 'httpstcopunfvfzjr']"
80,2022-03-11T16:56:41.000Z,1502327663301697539,"U.S. ENVOY TO U.N. SAYS U.S. BELIEVES THAT RUSSIA COULD USE CHEMICAL OR BIOLOGICAL AGENTS FOR ASSASSINATIONS AS PART OF A STAGED OR FALSE FLAG INCIDENT, OR TO SUPPORT MILITARY OPERATIONS",18856867,"['u', 'envoy', 'to', 'un', 'say', 'u', 'belief', 'that', 'russia', 'could', 'use', 'chemical', 'or', 'biological', 'agent', 'for', 'assassination', 'a', 'part', 'of', 'a', 'staged', 'or', 'false', 'flag', 'incident', 'or', 'to', 'support', 'military', 'operation']"
81,2022-03-11T16:55:21.000Z,1502327329279954947,"2s10s 23bps, -5bps on the day",18856867,"['s', 'bps', 'bps', 'on', 'the', 'day']"
82,2022-03-11T16:52:14.000Z,1502326544450076673,"U.S. ENVOY TO U.N. SAYS UKRAINE DOES NOT HAVE A BIOLOGICAL WEAPONS PROGRAM, AND THERE ARE NO UKRAINIAN BIOLOGICAL WEAPONS LABORATORIES SUPPORTED BY THE UNITED STATES",18856867,"['u', 'envoy', 'to', 'un', 'say', 'ukraine', 'doe', 'not', 'have', 'a', 'biological', 'weapon', 'program', 'and', 'there', 'are', 'no', 'ukrainian', 'biological', 'weapon', 'laboratory', 'supported', 'by', 'the', 'united', 'state']"
83,2022-03-11T16:47:24.000Z,1502325325132349444,*KULEBA: UKRAINE'S NEUTRALITY MUST COME WITH SECURITY GUARANTEES,18856867,"['kuleba', 'ukraine', 'neutrality', 'must', 'come', 'with', 'security', 'guarantee']"
84,2022-03-11T16:45:14.000Z,1502324780007325699,"Biden: NATO-Russia Conflict Would Be ""World War 3"", Warns Kremlin Of ""Severe Price"" If Chemical Weapons Used https://t.co/PR4MC7Kxj3",18856867,"['biden', 'natorussia', 'conflict', 'would', 'be', 'world', 'war', 'warns', 'kremlin', 'of', 'severe', 'price', 'if', 'chemical', 'weapon', 'used', 'httpstcoprmckxj']"
85,2022-03-11T16:43:31.000Z,1502324348010565638,*KULEBA: TALKS DON'T IMPACT RUSSIA'S BEHAVIOR ON THE GROUND,18856867,"['kuleba', 'talk', 'dont', 'impact', 'russia', 'behavior', 'on', 'the', 'ground']"
86,2022-03-11T16:42:30.000Z,1502324094485811209,*UKRAINE'S KULEBA: ZERO PROGRESS IN TALKS WITH RUSSIA THURSDAY,18856867,"['ukraine', 'kuleba', 'zero', 'progress', 'in', 'talk', 'with', 'russia', 'thursday']"
87,2022-03-11T16:33:40.000Z,1502321869537660931,ES LOD,18856867,"['e', 'lod']"
88,2022-03-11T16:30:37.000Z,1502321103884148736,"Four VLCCs have been booked to load Russian Urals crude via ship-to-ship transfer at Skaw, Denmark, according to tanker fixtures and people familiar with the matter: BBG",18856867,"['four', 'vlccs', 'have', 'been', 'booked', 'to', 'load', 'russian', 'urals', 'crude', 'via', 'shiptoship', 'transfer', 'at', 'skaw', 'denmark', 'according', 'to', 'tanker', 'fixture', 'and', 'people', 'familiar', 'with', 'the', 'matter', 'bbg']"
89,2022-03-11T16:30:12.000Z,1502320999378923524,"Bitcoin Slides On Report Russians Seek To Liquidate ""Billions In Crypto"" In UAE https://t.co/ENogq2gSOG",18856867,"['bitcoin', 'slide', 'on', 'report', 'russian', 'seek', 'to', 'liquidate', 'billion', 'in', 'crypto', 'in', 'uae', 'httpstcoenogqgsog']"
